"utterance","episode_name","season","episode_number","character"
"[CRICKETS CHIRPING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[ALARM BLARING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[PANTING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[ELEVATOR DESCENDING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[ELEVATOR DINGS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[BREATHING HEAVILY]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[LOW GROWLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SCREAMING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Something is coming. Something hungry for blood.","Chapter One The Vanishing of Will Byers","1","1","Mike"
"A shadow grows on the wall behind you, swallowing you in darkness.","Chapter One The Vanishing of Will Byers","1","1",NA
"It is almost here.","Chapter One The Vanishing of Will Byers","1","1",NA
"What is it?","Chapter One The Vanishing of Will Byers","1","1",NA
"What if it’s the Demogorgon?","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, Jesus, we’re so screwed if it’s the Demogorgon.","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s not the Demogorgon.","Chapter One The Vanishing of Will Byers","1","1",NA
"An army of troglodytes charge into the chamber!","Chapter One The Vanishing of Will Byers","1","1",NA
"Troglodytes?","Chapter One The Vanishing of Will Byers","1","1",NA
"Told ya. [CHUCKLING]","Chapter One The Vanishing of Will Byers","1","1",NA
"[SNORTS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[ALL CHUCKLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SOFTLY] Wait a minute.","Chapter One The Vanishing of Will Byers","1","1",NA
"Did you hear that?","Chapter One The Vanishing of Will Byers","1","1",NA
"That... that sound?","Chapter One The Vanishing of Will Byers","1","1",NA
"Boom... boom...","Chapter One The Vanishing of Will Byers","1","1",NA
"[YELLS] Boom!","Chapter One The Vanishing of Will Byers","1","1",NA
"[SLAMS TABLE]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"That didn’t come from the troglodytes. No, that...","Chapter One The Vanishing of Will Byers","1","1",NA
"That came from something else.","Chapter One The Vanishing of Will Byers","1","1",NA
"The Demogorgon!","Chapter One The Vanishing of Will Byers","1","1",NA
"[ALL GROANING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"We’re in deep shit.","Chapter One The Vanishing of Will Byers","1","1",NA
"Will, your action!","Chapter One The Vanishing of Will Byers","1","1",NA
"I don’t know!","Chapter One The Vanishing of Will Byers","1","1",NA
"Fireball him!","Chapter One The Vanishing of Will Byers","1","1",NA
"I’d have to roll a 13 or higher!","Chapter One The Vanishing of Will Byers","1","1",NA
"Too risky. Cast a protection spell.","Chapter One The Vanishing of Will Byers","1","1",NA
"Don’t be a pussy. Fireball him!","Chapter One The Vanishing of Will Byers","1","1",NA
"Cast Protection.","Chapter One The Vanishing of Will Byers","1","1",NA
"The Demogorgon is tired of your silly human bickering!","Chapter One The Vanishing of Will Byers","1","1",NA
"It stomps towards you.","Chapter One The Vanishing of Will Byers","1","1",NA
"Boom!","Chapter One The Vanishing of Will Byers","1","1",NA
"Fireball him!","Chapter One The Vanishing of Will Byers","1","1",NA
"Another stomp, boom!","Chapter One The Vanishing of Will Byers","1","1",NA
"Cast Protection.","Chapter One The Vanishing of Will Byers","1","1",NA
"He roars in anger!","Chapter One The Vanishing of Will Byers","1","1",NA
"[ALL CLAMORING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Fireball!","Chapter One The Vanishing of Will Byers","1","1",NA
"[DIE CLATTERING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Oh, shit!","Chapter One The Vanishing of Will Byers","1","1",NA
"LUCAS: Where’d it go?","Chapter One The Vanishing of Will Byers","1","1",NA
"Where is it? WILL: I don’t know!","Chapter One The Vanishing of Will Byers","1","1","Lucas"
"Is it a 13?","Chapter One The Vanishing of Will Byers","1","1",NA
"WILL: I don’t know!","Chapter One The Vanishing of Will Byers","1","1",NA
"Where is it? DUSTIN: Oh, my God!","Chapter One The Vanishing of Will Byers","1","1","Lucas"
"Mike! DUSTIN: Oh, my God! Oh, my God!","Chapter One The Vanishing of Will Byers","1","1","Karen"
"Mike! LUCAS: Can you find it yet?","Chapter One The Vanishing of Will Byers","1","1","Karen"
"No, I can’t find it!","Chapter One The Vanishing of Will Byers","1","1","Will"
"Mike!","Chapter One The Vanishing of Will Byers","1","1",NA
"DUSTIN: Oh, my God! Oh, my God!","Chapter One The Vanishing of Will Byers","1","1",NA
"Mom, we’re in the middle of a campaign!","Chapter One The Vanishing of Will Byers","1","1",NA
"You mean the end? Fifteen after.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, my God! Freaking idiot! WILL: Why do we have to go?","Chapter One The Vanishing of Will Byers","1","1","Lucas"
"Mom, wait, just 20 more minutes!","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s a school night, Michael.","Chapter One The Vanishing of Will Byers","1","1",NA
"I just put Holly to bed. You can finish next weekend.","Chapter One The Vanishing of Will Byers","1","1",NA
"But that’ll ruin the flow!","Chapter One The Vanishing of Will Byers","1","1",NA
"Michael—","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m serious, Mom.","Chapter One The Vanishing of Will Byers","1","1",NA
"The campaign took two weeks to plan.","Chapter One The Vanishing of Will Byers","1","1",NA
"How was I supposed to know it was gonna take ten hours?","Chapter One The Vanishing of Will Byers","1","1",NA
"You’ve been playing for ten hours?","Chapter One The Vanishing of Will Byers","1","1",NA
"Dad, don’t you think that 20 more—","Chapter One The Vanishing of Will Byers","1","1",NA
"I think you should listen to your mother.","Chapter One The Vanishing of Will Byers","1","1",NA
"[STATIC CRACKLING ON TV]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GRUNTS] Dumb piece of junk.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, I got it!","Chapter One The Vanishing of Will Byers","1","1","Will"
"Does the seven count?","Chapter One The Vanishing of Will Byers","1","1",NA
"It was a seven?","Chapter One The Vanishing of Will Byers","1","1",NA
"Did Mike see it? Then it doesn’t count.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yo, hey, guys.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"Does anyone want this?","Chapter One The Vanishing of Will Byers","1","1",NA
"BOTH: No.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah.","Chapter One The Vanishing of Will Byers","1","1","Nancy"
"No, I don’t think...","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, he’s cute.","Chapter One The Vanishing of Will Byers","1","1",NA
"Barb, no, I don’t think so.","Chapter One The Vanishing of Will Byers","1","1",NA
"Barb, you’re not—","Chapter One The Vanishing of Will Byers","1","1",NA
"Hey, Nancy.","Chapter One The Vanishing of Will Byers","1","1",NA
"There’s a slice left if you want it.","Chapter One The Vanishing of Will Byers","1","1",NA
"Sausage and pepperoni!","Chapter One The Vanishing of Will Byers","1","1",NA
"Hold on.","Chapter One The Vanishing of Will Byers","1","1",NA
"There’s something wrong with your sister.","Chapter One The Vanishing of Will Byers","1","1",NA
"What are you talking about?","Chapter One The Vanishing of Will Byers","1","1",NA
"She’s got a stick up her butt.","Chapter One The Vanishing of Will Byers","1","1",NA
"LUCAS: Yeah.","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s because she’s been dating that douchebag, Steve Harrington.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, she’s turning into a real jerk.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"She’s always been a real jerk.","Chapter One The Vanishing of Will Byers","1","1",NA
"Nuh-uh, she used to be cool.","Chapter One The Vanishing of Will Byers","1","1",NA
"Like that time she dressed up as an elf for our Elder tree campaign.","Chapter One The Vanishing of Will Byers","1","1",NA
"Four years ago!","Chapter One The Vanishing of Will Byers","1","1","Mike"
"Just saying. LUCAS: Later.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
